//### ROAD Connections ###

//ATHENS
ATHENS, VALONA, ROAD

//VALONA
VALONA, ATHENS, ROAD
VALONA, SALONICA, ROAD
VALONA, SOFIA, ROAD
VALONA, SARAJEVO, ROAD

//SALONICA
SALONICA, VALONA, ROAD
SALONICA, SOFIA, ROAD

//SOFIA
SOFIA, VARNA, ROAD
SOFIA, SALONICA, ROAD
SOFIA, VALONA, ROAD
SOFIA, SARAJEVO, ROAD
SOFIA, BELGRADE, ROAD
SOFIA, BUCHAREST, ROAD

//VARNA
VARNA, SOFIA, ROAD
VARNA, CONSTANTA, ROAD

//CONSTANTA
CONSTANTA, VARNA, ROAD
CONSTANTA, BUCHAREST, ROAD
CONSTANTA, GALATZ, ROAD

//GALATZ
GALATZ, CONSTANTA, ROAD
GALATZ, BUCHAREST, ROAD
GALATZ, KLAUSENBURG, ROAD
GALATZ, CASTLE_DRACULA, ROAD

//BUCHAREST
BUCHAREST, GALATZ, ROAD
BUCHAREST, CONSTANTA, ROAD
BUCHAREST, SOFIA, ROAD
BUCHAREST, BELGRADE, ROAD
BUCHAREST, KLAUSENBURG, ROAD

//BELGRADE
BELGRADE, SARAJEVO, ROAD
BELGRADE, ST_JOSEPH_AND_ST_MARYS, ROAD
BELGRADE, SZEGED, ROAD
BELGRADE, KLAUSENBURG, ROAD
BELGRADE, BUCHAREST, ROAD
BELGRADE, SOFIA, ROAD

//SARAJEVO
SARAJEVO, VALONA, ROAD
SARAJEVO, ZAGREB, ROAD
SARAJEVO, ST_JOSEPH_AND_ST_MARYS, ROAD
SARAJEVO, BELGRADE, ROAD
SARAJEVO, SOFIA, ROAD

//ST_JOSEPH_AND_ST_MARYS
ST_JOSEPH_AND_ST_MARYS, SARAJEVO, ROAD
ST_JOSEPH_AND_ST_MARYS, ZAGREB, ROAD
ST_JOSEPH_AND_ST_MARYS, SZEGED, ROAD
ST_JOSEPH_AND_ST_MARYS, BELGRADE, ROAD

//SZEGED
SZEGED, ST_JOSEPH_AND_ST_MARYS, ROAD
SZEGED, ZAGREB, ROAD
SZEGED, BUDAPEST, ROAD
SZEGED, KLAUSENBURG, ROAD
SZEGED, BELGRADE, ROAD

//KLAUSENBURG
KLAUSENBURG, BELGRADE, ROAD
KLAUSENBURG, SZEGED, ROAD
KLAUSENBURG, BUDAPEST, ROAD
KLAUSENBURG, CASTLE_DRACULA, ROAD
KLAUSENBURG, GALATZ, ROAD
KLAUSENBURG, BUCHAREST, ROAD

//CASTLE_DRACULA
CASTLE_DRACULA, GALATZ, ROAD
CASTLE_DRACULA, KLAUSENBURG, ROAD

//ZAGREB
ZAGREB, SARAJEVO, ROAD
ZAGREB, MUNICH, ROAD
ZAGREB, VIENNA, ROAD
ZAGREB, BUDAPEST, ROAD
ZAGREB, SZEGED, ROAD
ZAGREB, ST_JOSEPH_AND_ST_MARYS, ROAD

//BUDAPEST
BUDAPEST, ZAGREB, ROAD
BUDAPEST, VIENNA, ROAD
BUDAPEST, KLAUSENBURG, ROAD
BUDAPEST, SZEGED, ROAD

//VIENNA
VIENNA, ZAGREB, ROAD
VIENNA, MUNICH, ROAD
VIENNA, PRAGUE, ROAD
VIENNA, BUDAPEST, ROAD

//PRAGUE
PRAGUE, NUREMBURG, ROAD
PRAGUE, BERLIN, ROAD
PRAGUE, VIENNA, ROAD

//BERLIN
BERLIN, LEIPZIG, ROAD
BERLIN, HAMBURG, ROAD
BERLIN, PRAGUE, ROAD

//LEIPZIG
LEIPZIG, FRANKFURT, ROAD
LEIPZIG, COLOGNE, ROAD
LEIPZIG, HAMBURG, ROAD
LEIPZIG, BERLIN, ROAD
LEIPZIG, NUREMBURG, ROAD

//FRANKFURT
FRANKFURT, STRASBOURG, ROAD
FRANKFURT, COLOGNE, ROAD
FRANKFURT, LEIPZIG, ROAD
FRANKFURT, NUREMBURG, ROAD

//NUREMBURG
NUREMBURG, STRASBOURG, ROAD
NUREMBURG, FRANKFURT, ROAD
NUREMBURG, LEIPZIG, ROAD
NUREMBURG, PRAGUE, ROAD
NUREMBURG, MUNICH, ROAD

//MUNICH
MUNICH, MILAN, ROAD
MUNICH, ZURICH, ROAD
MUNICH, STRASBOURG, ROAD
MUNICH, NUREMBURG, ROAD
MUNICH, VIENNA, ROAD
MUNICH, ZAGREB, ROAD
MUNICH, VENICE, ROAD

//VENICE
VENICE, FLORENCE, ROAD
VENICE, GENOA, ROAD
VENICE, MILAN, ROAD
VENICE, MUNICH, ROAD

//FLORENCE
FLORENCE, GENOA, ROAD
FLORENCE, VENICE, ROAD
FLORENCE, ROME, ROAD

//ROME
ROME, FLORENCE, ROAD
ROME, NAPLES, ROAD
ROME, BARI, ROAD

//NAPLES
NAPLES, ROME, ROAD
NAPLES, BARI, ROAD

//BARI
BARI, NAPLES, ROAD
BARI, ROME, ROAD

//GENOA
GENOA, VENICE, ROAD
GENOA, FLORENCE, ROAD
GENOA, MILAN, ROAD
GENOA, MARSEILLES, ROAD

//MILAN
MILAN, GENOA, ROAD
MILAN, VENICE, ROAD
MILAN, MARSEILLES, ROAD
MILAN, ZURICH, ROAD
MILAN, MUNICH, ROAD

//ZURICH
ZURICH, MILAN, ROAD
ZURICH, MUNICH, ROAD
ZURICH, GENEVA, ROAD
ZURICH, MARSEILLES, ROAD
ZURICH, STRASBOURG, ROAD

//STRASBOURG
STRASBOURG, ZURICH, ROAD
STRASBOURG, MUNICH, ROAD
STRASBOURG, GENEVA, ROAD
STRASBOURG, NUREMBURG, ROAD
STRASBOURG, FRANKFURT, ROAD
STRASBOURG, COLOGNE, ROAD
STRASBOURG, BRUSSELS, ROAD
STRASBOURG, PARIS, ROAD

//COLOGNE
COLOGNE, STRASBOURG, ROAD
COLOGNE, BRUSSELS, ROAD
COLOGNE, FRANKFURT, ROAD
COLOGNE, HAMBURG, ROAD
COLOGNE, AMSTERDAM, ROAD
COLOGNE, LEIPZIG, ROAD

//HAMBURG
HAMBURG, COLOGNE, ROAD
